1653,wendys 6505,fast food,2016-05-25T00:00:00.000,critical violations observed,20747,3440 donnell dr,james schwartz
1540,tgi fridays,full service,2016-05-25T00:00:00.000,critical violations observed,20770,6460 capitol dr,daniel halpern
1171,popeyes 109,fast food,2016-05-25T00:00:00.000,------,20770,6224 greenbelt rd,jerome friedlander
2231,seven eleven 11693b,convenience store,2016-05-25T00:00:00.000,------,20748,3411 dallas dr,rahbur chopra
8181,seven eleven 37103a,convenience store,2016-05-25T00:00:00.000,------,20784,7467 annapolis rd,selamawit simret
6356,marcelas chicken,full service,2016-05-25T00:00:00.000,compliant - health risk,20748,3407 dallas dr,nuris erespo
792,kenny's carry out,carry-out,2016-05-26T00:00:00.000,facility closed,20783,7817 riggs rd,jackie zheng
880,ledo restaurant,full service,2016-05-26T00:00:00.000,critical violations observed,20740,4509 knox rd,thomas marcos jr
1061,one hundred plus latino restaurant,full service,2016-05-26T00:00:00.000,compliant - no health risk,20748,5824 allentown way,lilian kain
418,dutch village farmers market the kountry grille,grocery store,2016-05-26T00:00:00.000,compliant - no health risk,20772,5030 brown station rd,david beiler
850,lamont elementary school,public school,2016-05-26T00:00:00.000,critical violations observed,20784,7101 good luck rd,mark fossett
